Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
429,7,3,NO,1,4,5,YES,3,YES,K
430,7,3,NO,1,6,5,YES,3,YES,K
431,7,2,NO,1,8,6,YES,2,YES,K
432,7,2,NO,1,6,6,YES,2,YES,K
433,7,2,NO,1,6,6,YES,2,YES,K
434,7,2,NO,1,8,6,YES,2,YES,K
435,7,2,NO,1,5,6,YES,2,YES,K
436,7,3,NO,1,4,5,YES,3,YES,K
437,7,2,NO,1,6,6,YES,2,YES,K
438,7,2,NO,1,6,6,YES,2,YES,K
439,7,2,NO,1,6,6,YES,2,YES,K
440,7,2,NO,1,8,6,YES,2,YES,K
441,7,2,NO,1,8,6,YES,2,YES,K
442,7,2,NO,1,8,6,YES,2,YES,K
443,7,3,NO,1,6,5,YES,3,YES,K
444,7,3,NO,1,8,5,YES,3,YES,K
445,7,2,NO,2,8,6,YES,2,YES,KEZ
446,7,2,NO,2,6,6,YES,2,YES,KEZ
447,7,3,NO,1,6,5,YES,3,YES,K
448,7,2,NO,2,8,6,YES,2,YES,KEZ
449,7,2,NO,2,8,6,YES,2,YES,KEZ
450,7,3,NO,1,4,5,YES,3,YES,K
451,7,4,YES,0,3,*,*,4,YES,D
452,7,5,YES,0,4,*,*,5,YES,D
453,7,4,YES,0,4,*,*,4,YES,D
454,7,4,YES,0,4,*,*,4,YES,D
455,7,4,YES,0,6,*,*,4,YES,D
